Country Name,Country Code,Year,Total CO2 emissions,CO2 emissions per capita,GDP,GDP per capita,GDP growth (annual %)
Albania,ALB,2024,4444448.0,1.5919901,15568367220.7999,20591.4867251508,4.04592845095348
Andorra,AND,2024,424663.0,5.1816607,3362287046.47556,65928.3071971004,3.37182032638998
Austria,AUT,2024,56367656.0,6.180112,421809268656.554,63788.078678479,-0.659089573171372
Belarus,BLR,2024,55818416.0,6.163221,62030020167.7391,29040.9725790425,4.00984852465452
Belgium,BEL,2024,85456200.0,7.2798314,534178915343.837,63347.7858809235,1.07045413019414
Bosnia and Herzegovina,BIH,2024,19425932.0,6.1391783,21296271621.8748,19532.10799535,2.9715174617652
Bulgaria,BGR,2024,31621824.0,4.6793866,65231613490.8247,32561.9139604771,3.38709063847314
Croatia,HRV,2024,18464850.0,4.764723,69027943227.3244,40751.958615086,3.82688702890739
Cyprus,CYP,2024,7299328.0,5.373922,31740302544.1463,50082.71875,3.94077381708404
Denmark,DNK,2024,28369162.0,4.746057,363238912546.89,71431.2926242287,3.47783593140312
Estonia,EST,2024,8306777.0,6.105464,27554054399.2591,41189.6675300734,-0.0900428648493801
Finland,FIN,2024,29775000.0,5.300579,254323653957.12,56123.1479579839,0.416171964862073
France,FRA,2024,264155620.0,3.969368,2720362347819.81,54799.3482689389,1.19046798275883
Germany,DEU,2024,572319170.0,6.7688236,3677048776153.86,62554.5547232436,-0.495851897260366
Greece,GRC,2024,53360840.0,5.310692,223655084018.924,37474.2798239947,2.0865743380603
Hungary,HUN,2024,40017292.0,4.135669,157952280644.587,40686.9319263343,0.560117843140432
Iceland,ISL,2024,3803011.0,9.666935,22922580053.4796,67310.0573573616,-0.970676468918384
Ireland,IRL,2024,33310624.0,6.3388243,509767195342.461,119037.731175443,2.59946721553708
Italy,ITA,2024,301929760.0,5.087886,2033588532657.24,53265.0032474189,0.692676948440536
Latvia,LVA,2024,6461889.0,3.4520962,30557357896.8573,37611.6699359404,-0.0461080109713521
Lithuania,LTU,2024,12541509.0,4.386505,55144866855.2473,47165.3665643051,2.77263124530285
Luxembourg,LUX,2024,7039783.0,10.459649,70508886559.2138,128475.279802738,0.35861253942069
Malta,MLT,2024,1728766.0,3.2037206,19721971907.7513,59659.5237078097,6.79990300224401
Moldova,MDA,2024,5326843.0,1.7551568,9252510447.17039,16376.6113704265,0.103059364371205
Montenegro,MNE,2024,2376258.0,3.7217364,5324908668.48059,26742.5578934939,3.16409886329913
Netherlands,NLD,2024,114784730.0,6.29691,920880034447.75,70498.8840396071,1.08100584845663
North Macedonia,MKD,2024,6619636.0,3.6311553,12093396439.5,23029.4145629581,2.99373536567732
Norway,NOR,2024,37183000.0,6.667616,443929688973.891,91105.246799623,2.09723059960317
Poland,POL,2024,272861820.0,7.0801096,658084600079.586,45153.0439773281,3.02841630700273
Portugal,PRT,2024,35538852.0,3.4089074,242206495918.36,42197.2025135828,2.13967177177636
Romania,ROU,2024,68551400.0,3.605104,237383786157.719,38539.5770476858,0.916003764382594
Russia,RUS,2024,1780524400.0,12.294705,1612344875264.36,41704.7109375,4.34437475491529
Serbia,SRB,2024,42019440.0,6.237839,56513683533.7835,25596.1260525552,3.94992622592932
Slovakia,SVK,2024,29090958.0,5.282773,107227789781.413,40319.0547230873,1.93867445549446
Slovenia,SVN,2024,12751194.0,6.0184274,55598805913.7619,48648.9078834081,1.73139722479493
Spain,ESP,2024,220341280.0,4.599015,1428595035672.37,48460.2914069661,3.45525405630191
Sweden,SWE,2024,38096652.0,3.5916543,572983369203.274,62978.9390459835,0.820071806703865
Switzerland,CHE,2024,32071708.0,3.5946856,811109937475.131,82286.1801896488,1.30233332541106
Ukraine,UKR,2024,142497860.0,3.7637882,78535131747.3225,16319.8447265625,2.9138222142611
United Kingdom,GBR,2024,312905540.0,4.5257993,3320141995547.62,52621.1790252979,1.1264226705118
